Empresa,Rubro,Monto Sugerido ARS,Ciudad,Provincia,Direccion,Telefono,Contacto,Fit Score,Dolor Diagnosticado,Calificacion Google,Rango de Precio,Distancia km,Link Guia Cores
"El DEPOSITO Distribuidora Mayorista de Bebidas","Distribuidora Mayorista","220000","General Roca","Río Negro","Gral. Conrado Villegas 1997 R8332, R8332 Gral. Roca, Río Negro, Argentina","Sin teléfono","Luciana Silva","9","No cuenta con página web institucional ni catálogo digital, lo que reduce su presencia digital en la Patagonia.","4.3","$","0.2","https://www.google.com/search?q=El%20DEPOSITO%20Distribuidora%20Mayorista%20de%20Bebidas%20General%20Roca"
"Distribuidora Pablo","Distribuidora Mayorista","195000","General Roca","Río Negro","Independencia, R8332 Gral. Roca, Río Negro, Argentina","0298 444-0642","Carlos Benítez","8","Pérdida de clientes potenciales los fines de semana por falta de chatbot automatizado en Instagram y WhatsApp.","4.4","$$","1.9","https://www.google.com/search?q=Distribuidora%20Pablo%20General%20Roca"
"Distribuidora Luque","Distribuidora Mayorista","250000","General Roca","Río Negro","Dr. Adolfo Alsina 2663, R8332 Gral. Roca, Río Negro, Argentina","0298 15-476-8385","Mariano Gómez","9","No cuenta con página web institucional ni catálogo digital, lo que reduce su presencia digital en la Patagonia.","4.8","$$$","3.6","https://www.google.com/search?q=Distribuidora%20Luque%20General%20Roca"
"Autoservicio Mayorista Multipack Don Tomás","Distribuidora Mayorista","225000","General Roca","Río Negro","Cerro Tronador 1234, R8332, Río Negro, Argentina","0298 433-5380","Sofia Rodriguez","8","Pérdida de clientes potenciales los fines de semana por falta de chatbot automatizado en Instagram y WhatsApp.","4.3","$","5.3","https://www.google.com/search?q=Autoservicio%20Mayorista%20Multipack%20Don%20Tom%C3%A1s%20General%20Roca"
"Autoservicio Mayorista Rivero","Distribuidora Mayorista","280000","General Roca","Río Negro","Vintter 1232, R8332 Gral. Roca, Río Negro, Argentina","0298 464-6150","Gustavo B.","9","No cuenta con página web institucional ni catálogo digital, lo que reduce su presencia digital en la Patagonia.","4.2","$$","7","https://www.google.com/search?q=Autoservicio%20Mayorista%20Rivero%20General%20Roca"
"YAGUAR Supermercado Mayorista","Distribuidora Mayorista","255000","General Roca","Río Negro","R8332 Gral. Roca, Río Negro, Argentina","0298 429-2900","Facundo Pagura","8","Calificación de 3.6 estrellas en Google Maps por demoras en atención. Necesita un asistente de WhatsApp de Clientum para agilizar respuestas.","3.6","$$$","8.7","https://www.google.com/search?q=YAGUAR%20Supermercado%20Mayorista%20General%20Roca"
"Maxiconsumo","Distribuidora Mayorista","270000","General Roca","Río Negro","Juan Domingo Perón 1057, R8332 Gral. Roca, Río Negro, Argentina","0298 442-9571","Guido Espinola","8","Calificación de 4 estrellas en Google Maps por demoras en atención. Necesita un asistente de WhatsApp de Clientum para agilizar respuestas.","4","$","1.1","https://www.google.com/search?q=Maxiconsumo%20General%20Roca"
"Distribuidora Mar S.H.","Distribuidora Mayorista","285000","General Roca","Río Negro","Tres Arroyos 1057, R8332 Gral. Roca, Río Negro, Argentina","0298 472-1647","Facundo Peralta","8","Calificación de 3.6 estrellas en Google Maps por demoras en atención. Necesita un asistente de WhatsApp de Clientum para agilizar respuestas.","3.6","$$","2.8","https://www.google.com/search?q=Distribuidora%20Mar%20S.H.%20General%20Roca"
"Organización Comercial Don Tomás SRL","Distribuidora Mayorista","300000","General Roca","Río Negro","Ruta 22 este 146 km 1175, R8332 Gral. Roca, Río Negro, Argentina","0298 15-413-3533","Maximiliano Vargas","8","Dificultad para centralizar reservas de mesas y pedidos para llevar desde WhatsApp.","4.7","$$$","4.5","https://www.google.com/search?q=Organizaci%C3%B3n%20Comercial%20Don%20Tom%C3%A1s%20SRL%20General%20Roca"
"LIP DISTRIBUIDORA","Distribuidora Mayorista","315000","General Roca","Río Negro","Damas Patricias 1076, R8332 Gral. Roca, Río Negro, Argentina","0298 465-8444","Martin Diaz","8","Dificultad para centralizar reservas de mesas y pedidos para llevar desde WhatsApp.","5","$","6.2","https://www.google.com/search?q=LIP%20DISTRIBUIDORA%20General%20Roca"
