ID,Type,SKU,Name,Published,Short description,Description,In stock?,Regular price,Categories,Tags
,simple,SOL-chatbot,Chatbot WhatsApp,1,"Chatbot con IA que atiende 24/7 por WhatsApp Business API, entiende a tus clientes y responde como vos.","Chatbot con IA que atiende 24/7 por WhatsApp Business API, entiende a tus clientes y responde como vos.",1,,Soluciones,"solucion,clientum,core"
,simple,SOL-crm_inteligente,CRM Inteligente,1,"CRM pensado para PyMEs argentinas: pipeline de ventas, seguimiento de leads y reportes sin curva de aprendizaje.","CRM pensado para PyMEs argentinas: pipeline de ventas, seguimiento de leads y reportes sin curva de aprendizaje.",1,,Soluciones,"solucion,clientum,core"
,simple,SOL-facturacion_afip,Facturación Electrónica AFIP,1,"Facturación electrónica integrada y automática, conectada directo con AFIP.","Facturación electrónica integrada y automática, conectada directo con AFIP.",1,,Soluciones,"solucion,clientum,core"
,simple,SOL-suscripciones_mp,Suscripciones MercadoPago,1,"Cobros recurrentes automatizados vía MercadoPago, sin gestión manual.","Cobros recurrentes automatizados vía MercadoPago, sin gestión manual.",1,,Soluciones,"solucion,clientum,core"
,simple,SOL-prospeccion_leads,Prospección de Leads,1,Identificación y calificación automática de clientes potenciales según tu perfil ideal.,Identificación y calificación automática de clientes potenciales según tu perfil ideal.,1,,Soluciones,"solucion,clientum,core"
,simple,SOL-broadcast_automatizacion,Broadcast & Automatización,1,"Campañas y mensajes masivos automatizados, con seguimiento y segmentación.","Campañas y mensajes masivos automatizados, con seguimiento y segmentación.",1,,Soluciones,"solucion,clientum,core"
,simple,SOL-business_intelligence,Business Intelligence,1,Reportes y dashboards automáticos para decisiones basadas en datos reales del negocio.,Reportes y dashboards automáticos para decisiones basadas en datos reales del negocio.,1,,Soluciones,"solucion,clientum,core"
,simple,SOL-ecommerce,E-Commerce,1,"Integración y gestión de tienda online conectada a CRM, facturación y stock.","Integración y gestión de tienda online conectada a CRM, facturación y stock.",1,,Soluciones,"solucion,clientum,core"
,simple,SRV-CTM-0490,Integración Facebook & Instagram Ads,1,Sincronización instantánea de formularios de leads (lead ads) para que impacten en tiempo real en las columnas de tu embudo comercial.,Sincronización instantánea de formularios de leads (lead ads) para que impacten en tiempo real en las columnas de tu embudo comercial.,1,75.00,Integraciones,"integracion,clientum,addon"
,simple,SRV-CTM-0491,Integración WooCommerce & Shopify,1,"Sincronización bidireccional en tiempo real de productos, precios, stock unificado y recuperación automatizada de carritos abandonados.","Sincronización bidireccional en tiempo real de productos, precios, stock unificado y recuperación automatizada de carritos abandonados.",1,195.00,Integraciones,"integracion,clientum,addon"
,simple,SRV-CTM-0492,Integración AFIP Facturación,1,"Emisión y envío automático de facturas electrónicas A, b o c asociadas directamente con cada transacción ganada en tu CRM.","Emisión y envío automático de facturas electrónicas A, b o c asociadas directamente con cada transacción ganada en tu CRM.",1,225.00,Integraciones,"integracion,clientum,addon"
,simple,SRV-CTM-0493,Integración MercadoPago & Stripe,1,Generación dinámica de links de pago desde el bot conversacional de whatsapp y conciliación inmediata en tu libro diario contable.,Generación dinámica de links de pago desde el bot conversacional de whatsapp y conciliación inmediata en tu libro diario contable.,1,135.00,Integraciones,"integracion,clientum,addon"
,simple,SRV-CTM-0494,Integración ERPs Tradicionales (Tango / Bejerman),1,"Sincronizador inteligente vía API REST y servicios locales de base de datos para control de stock mayorista, listas de precios avanzadas y compras.","Sincronizador inteligente vía API REST y servicios locales de base de datos para control de stock mayorista, listas de precios avanzadas y compras.",1,525.00,Integraciones,"integracion,clientum,addon"
,simple,PLN-inicial,Plan Inicial,1,Para emprendedores y pequeños negocios.,Para emprendedores y pequeños negocios. Web: Landing page responsiva | CRM/ERP: Embudo básico (200 cont.) | Seguridad: Respaldos mensuales | IA & BI: Bot de bienvenida fijo,1,20.00,Planes,"plan,clientum,suscripcion"
,simple,PLN-pyme,Plan PyME,1,Para comercios con ventas activas.,Para comercios con ventas activas. Web: Tienda online estándar | CRM/ERP: Stock + AFIP (1.000 cont.) | Seguridad: Cifrado de base de datos | IA & BI: Bot WhatsApp con FAQs,1,45.00,Planes,"plan,clientum,suscripcion"
,simple,PLN-pro,Plan Pro,1,"Para automatizar con IA, bots y facturación.","Para automatizar con IA, bots y facturación. Web: E-Commerce premium total | CRM/ERP: Multi-embudo ilimitado | Seguridad: Auditorías de software | IA & BI: Agente IA & BI avanzado",1,80.00,Planes,"plan,clientum,suscripcion"
,simple,PLN-corporativo,Plan Corporativo,1,Para empresas con múltiples canales activos.,Para empresas con múltiples canales activos. Web: Portal B2B + Web integral | CRM/ERP: Pipeline multi-sucursal | Seguridad: Hardening y firewall | IA & BI: Analítica predictiva & bots,1,150.00,Planes,"plan,clientum,suscripcion"
,simple,PLN-especializado,Plan Especializado,1,Infraestructura y desarrollos a medida.,Infraestructura y desarrollos a medida. Web: Apps web & mobile infinitas | CRM/ERP: Integraciones ERP legacy | Seguridad: SOC activo 24/7 dedicado | IA & BI: Modelos LLM corporativos,1,250.00,Planes,"plan,clientum,suscripcion"
