Empresa,Rubro,Ciudad,Provincia,Direccion,Telefono,Contacto,Monto_Sugerido_ARS,Fit_Score,MEDDIC_Score,Etapa_CRM,Dolor_Diagnosticado,Calificacion_Google,Rango_Precio,Distancia_km,Link_Busqueda,ID_Pipeline
Alpataco Distribuidora,Distribuidora Mayorista,General Roca,Río Negro,"Gral. Martín Miguel de Güemes 1030, R8332 Gral. Roca, Río Negro, Argentina",0298 433-7043,Estela Castro,490000,9,,leads,"No cuenta con página web institucional ni catálogo digital, lo que reduce su presencia digital en la Patagonia.",4.9,$,2.9,https://www.google.com/search?q=Alpataco%20Distribuidora%20General%20Roca,
Autoservicio Mayorista Rivero,Distribuidora Mayorista,General Roca,Río Negro,"Vintter 1232, R8332 Gral. Roca, Río Negro, Argentina",0298 464-6150,Gustavo B.,280000,9,,leads,"No cuenta con página web institucional ni catálogo digital, lo que reduce su presencia digital en la Patagonia.",4.2,$$,7,https://www.google.com/search?q=Autoservicio%20Mayorista%20Rivero%20General%20Roca,
Distribuciones Manar SA Mayorista de Fiambres Y Lacteos,Distribuidora Mayorista,General Roca,Río Negro,"República del Líbano 1742, R8332 Gral. Roca, Río Negro, Argentina",0298 442-9629,Martin Diaz,505000,9,,leads,"No cuenta con página web institucional ni catálogo digital, lo que reduce su presencia digital en la Patagonia.",4.8,$$,4.6,https://www.google.com/search?q=Distribuciones%20Manar%20SA%20Mayorista%20de%20Fiambres%20Y%20Lacteos%20General%20Roca,
Distribuidora Luque,Distribuidora Mayorista,General Roca,Río Negro,"Dr. Adolfo Alsina 2663, R8332 Gral. Roca, Río Negro, Argentina",0298 15-476-8385,Mariano Gómez,250000,9,57,leads,"No cuenta con página web institucional ni catálogo digital, lo que reduce su presencia digital en la Patagonia.",4.8,$$$,3.6,https://www.google.com/search?q=Distribuidora%20Luque%20General%20Roca,deal-prospect-1783941412390-618
Distribuidora San José SRL,Distribuidora Mayorista,General Roca,Río Negro,"Av. Mendoza y, Rochdale 16, R8332 Gral. Roca, Río Negro, Argentina",Sin teléfono,Gustavo B.,430000,9,,leads,"No cuenta con página web institucional ni catálogo digital, lo que reduce su presencia digital en la Patagonia.",4.4,$$$,5.4,https://www.google.com/search?q=Distribuidora%20San%20Jos%C3%A9%20SRL%20General%20Roca,
El DEPOSITO Distribuidora Mayorista de Bebidas,Distribuidora Mayorista,General Roca,Río Negro,"Gral. Conrado Villegas 1997 R8332, R8332 Gral. Roca, Río Negro, Argentina",Sin teléfono,Luciana Silva,220000,9,,leads,"No cuenta con página web institucional ni catálogo digital, lo que reduce su presencia digital en la Patagonia.",4.3,$,0.2,https://www.google.com/search?q=El%20DEPOSITO%20Distribuidora%20Mayorista%20de%20Bebidas%20General%20Roca,
El Tio 2 (Almacén de Bebidas),Distribuidora Mayorista,General Roca,Río Negro,"Dr. Adolfo Alsina 1348, R8332 Gral. Roca, Río Negro, Argentina",0298 482-9733,Gabriela López,460000,9,,leads,"No cuenta con página web institucional ni catálogo digital, lo que reduce su presencia digital en la Patagonia.",4.8,$$,8.8,https://www.google.com/search?q=El%20Tio%202%20(Almac%C3%A9n%20de%20Bebidas)%20General%20Roca,
Mayorista Tronelli SA,Distribuidora Mayorista,General Roca,Río Negro,"Av. Mendoza 79, R8332 Gral. Roca, Río Negro, Argentina",0298 413-2456,Facundo Peralta,475000,9,,leads,"No cuenta con página web institucional ni catálogo digital, lo que reduce su presencia digital en la Patagonia.",4.7,$$$,1.2,https://www.google.com/search?q=Mayorista%20Tronelli%20SA%20General%20Roca,
Autoservicio Mayorista Multipack Don Tomás,Distribuidora Mayorista,General Roca,Río Negro,"Cerro Tronador 1234, R8332, Río Negro, Argentina",0298 433-5380,Sofia Rodriguez,225000,8,,leads,Pérdida de clientes potenciales los fines de semana por falta de chatbot automatizado en Instagram y WhatsApp.,4.3,$,5.3,https://www.google.com/search?q=Autoservicio%20Mayorista%20Multipack%20Don%20Tom%C3%A1s%20General%20Roca,
CEDISUR,Distribuidora Mayorista,General Roca,Río Negro,"Gustavo Adolfo Becquer 92, 8332, R8332 Gral. Roca, Río Negro, Argentina",0298 429-2700,Sofia Rodriguez,375000,8,,leads,Dificultad para centralizar reservas de mesas y pedidos para llevar desde WhatsApp.,4.3,$$,3.7,https://www.google.com/search?q=CEDISUR%20General%20Roca,
Distribuidora Mar S.H.,Distribuidora Mayorista,General Roca,Río Negro,"Tres Arroyos 1057, R8332 Gral. Roca, Río Negro, Argentina",0298 472-1647,Estela Castro,300000,8,,leads,Calificación de 3.6 estrellas en Google Maps por demoras en atención. Necesita un asistente de WhatsApp de Clientum para agilizar respuestas.,3.6,$$$,4.5,https://www.google.com/search?q=Distribuidora%20Mar%20S.H.%20General%20Roca,
Distribuidora Pablo,Distribuidora Mayorista,General Roca,Río Negro,"Independencia, R8332 Gral. Roca, Río Negro, Argentina",0298 444-0642,Carlos Benítez,195000,8,,leads,Pérdida de clientes potenciales los fines de semana por falta de chatbot automatizado en Instagram y WhatsApp.,4.4,$$,1.9,https://www.google.com/search?q=Distribuidora%20Pablo%20General%20Roca,
Distribuidora R y R,Distribuidora Mayorista,General Roca,Río Negro,"Gral. José de San Martín 2693, R8332 Gral. Roca, Río Negro, Argentina",0298 420-3046,Carlos Benítez,345000,8,,leads,Dificultad para centralizar reservas de mesas y pedidos para llevar desde WhatsApp.,5,$$$,0.3,https://www.google.com/search?q=Distribuidora%20R%20y%20R%20General%20Roca,
Gonzalez Albors Hnos SRL,Distribuidora Mayorista,General Roca,Río Negro,"Bolivia 689, R8332 Gral. Roca, Río Negro, Argentina",0298 15-468-9805,Luciana Silva,330000,8,,leads,Dificultad para centralizar reservas de mesas y pedidos para llevar desde WhatsApp.,5,$$,7.9,https://www.google.com/search?q=Gonzalez%20Albors%20Hnos%20SRL%20General%20Roca,
LIP DISTRIBUIDORA,Distribuidora Mayorista,General Roca,Río Negro,"Damas Patricias 1076, R8332 Gral. Roca, Río Negro, Argentina",0298 465-8444,Martin Diaz,315000,8,,leads,Dificultad para centralizar reservas de mesas y pedidos para llevar desde WhatsApp.,5,$,6.2,https://www.google.com/search?q=LIP%20DISTRIBUIDORA%20General%20Roca,
Maxiconsumo,Distribuidora Mayorista,General Roca,Río Negro,"Juan Domingo Perón 1057, R8332 Gral. Roca, Río Negro, Argentina",0298 442-9571,Gabriela López,270000,8,,leads,Calificación de 4 estrellas en Google Maps por demoras en atención. Necesita un asistente de WhatsApp de Clientum para agilizar respuestas.,4,$,1.1,https://www.google.com/search?q=Maxiconsumo%20General%20Roca,
Organización Comercial Don Tomás SRL,Distribuidora Mayorista,General Roca,Río Negro,"Ruta 22 este 146 km 1175, R8332 Gral. Roca, Río Negro, Argentina",0298 15-413-3533,Facundo Peralta,285000,8,,leads,Dificultad para centralizar reservas de mesas y pedidos para llevar desde WhatsApp.,4.7,$$,2.8,https://www.google.com/search?q=Organizaci%C3%B3n%20Comercial%20Don%20Tom%C3%A1s%20SRL%20General%20Roca,
YAGUAR Supermercado Mayorista,Distribuidora Mayorista,General Roca,Río Negro,"R8332 Gral. Roca, Río Negro, Argentina",0298 429-2900,Andrés Martínez,255000,8,,leads,Calificación de 3.6 estrellas en Google Maps por demoras en atención. Necesita un asistente de WhatsApp de Clientum para agilizar respuestas.,3.6,$$$,8.7,https://www.google.com/search?q=YAGUAR%20Supermercado%20Mayorista%20General%20Roca,
La Roka Distribuidora,Distribuidora Mayorista,General Roca,Río Negro,"Av. San Juan 2362-2264, R8332 Gral. Roca, Río Negro, Argentina",0298 458-1254,Mariano Gómez,360000,7,,leads,Excelente presencia de marca en Google pero carece de un canal automático de cotizaciones y CRM para agendar reuniones de ventas 24/7.,4.5,$,2,https://www.google.com/search?q=La%20Roka%20Distribuidora%20General%20Roca,
Sileno bebidas,Distribuidora Mayorista,General Roca,Río Negro,"Jujuy 897, R8332 Gral. Roca, Río Negro, Argentina",0298 491-9808,Andrés Martínez,405000,7,,leads,Excelente presencia de marca en Google pero carece de un canal automático de cotizaciones y CRM para agendar reuniones de ventas 24/7.,5,$,7.1,https://www.google.com/search?q=Sileno%20bebidas%20General%20Roca,
Limay Mayorista,Distribuidora Mayorista,Neuquén Capital,,"Int. Pedro Linares 1578, Q8300 Neuquén, Argentina",0299 517-6476,Carlos Benítez,195000,,50,leads,Dificultad para centralizar reservas de mesas y pedidos para llevar desde WhatsApp.,,,,,deal-prospect-1783941522563-584
