ID,Type,SKU,Name,Published,Short description,Description,In stock?,Regular price,Categories,Tags
,simple,CUR-primer-empleado-ia,Tu Primer Empleado de IA,1,"Cómo delegarle tareas repetitivas a un agente de IA sin saber programar.","Cómo delegarle tareas repetitivas a un agente de IA sin saber programar. Duración: 3 semanas.",1,,Academia,"curso,clientum,academia,ia-automatizacion,nivel-principiante,duracion-3-semanas"
,simple,CUR-prompting-pymes,Prompting para Dueños de PyME,1,"Escribí instrucciones claras para que la IA te dé resultados útiles a la primera.","Escribí instrucciones claras para que la IA te dé resultados útiles a la primera. Duración: 2 semanas.",1,,Academia,"curso,clientum,academia,ia-automatizacion,nivel-principiante,duracion-2-semanas"
,simple,CUR-automatiza-flujos-ia,Automatizá tu Negocio con Flujos IA,1,"Conectá tus herramientas del día a día para que trabajen solas.","Conectá tus herramientas del día a día para que trabajen solas. Duración: 4 semanas.",1,,Academia,"curso,clientum,academia,ia-automatizacion,nivel-intermedio,duracion-4-semanas"
,simple,CUR-agentes-ia-ventas,Agentes de IA Aplicados a Ventas,1,"De la teoría a un agente que califica y hace seguimiento de leads real.","De la teoría a un agente que califica y hace seguimiento de leads real. Duración: 5 semanas.",1,,Academia,"curso,clientum,academia,ia-automatizacion,nivel-avanzado,duracion-5-semanas"
,simple,CUR-bot-whatsapp-sin-codigo,Armá tu Bot de WhatsApp sin Código,1,"Configurá un chatbot que responda consultas 24/7 con el CRM de base.","Configurá un chatbot que responda consultas 24/7 con el CRM de base. Duración: 3 semanas.",1,,Academia,"curso,clientum,academia,atencion-cliente,nivel-principiante,duracion-3-semanas"
,simple,CUR-bot-atencion-medida,Bot de Atención al Cliente a Medida,1,"Personalizá respuestas, tono y derivación a humano en tu bot.","Personalizá respuestas, tono y derivación a humano en tu bot. Duración: 4 semanas.",1,,Academia,"curso,clientum,academia,atencion-cliente,nivel-intermedio,duracion-4-semanas"
,simple,CUR-sitio-web-finde,Tu Sitio Web en un Fin de Semana,1,"Armá una landing profesional con herramientas de IA, sin diseñador.","Armá una landing profesional con herramientas de IA, sin diseñador. Duración: 2 semanas.",1,,Academia,"curso,clientum,academia,presencia-web,nivel-principiante,duracion-2-semanas"
,simple,CUR-imagenes-video-ia,Imágenes y Video de Producto con IA,1,"Fotografía y reels de calidad publicitaria sin cámara ni estudio.","Fotografía y reels de calidad publicitaria sin cámara ni estudio. Duración: 3 semanas.",1,,Academia,"curso,clientum,academia,presencia-web,nivel-intermedio,duracion-3-semanas"
,simple,CUR-wordpress-desde-cero,WordPress desde Cero,1,"Planificá y armá tu sitio institucional paso a paso.","Planificá y armá tu sitio institucional paso a paso. Duración: 4 semanas.",1,,Academia,"curso,clientum,academia,wordpress,nivel-principiante,duracion-4-semanas"
,simple,CUR-wordpress-seguro,Mantené tu WordPress Seguro,1,"Staging, backups y protección básica para no romper nada en producción.","Staging, backups y protección básica para no romper nada en producción. Duración: 3 semanas.",1,,Academia,"curso,clientum,academia,wordpress,nivel-intermedio,duracion-3-semanas"
,simple,CUR-tienda-online-vender-mas,Ordená tu Tienda Online para Vender Más,1,"Catálogo, stock y checkout optimizados para conversión.","Catálogo, stock y checkout optimizados para conversión. Duración: 4 semanas.",1,,Academia,"curso,clientum,academia,ecommerce,nivel-principiante,duracion-4-semanas"
