"archivo","ruta_relativa","carpeta","tipo","tamaño_kb","lineas","descripcion","metricas_clave","estado","temas_secciones"
"2026-07-15.md","2026-07-15.md",".","MD","2.81","80","Registro de sesión de trabajo del 15/07/2026 — adopción del rol de arquitecto técnico, hallazgos técnicos, configuración de entrypoints Vercel/Replit","80 líneas","completo","Sesión de trabajo — 15 de julio de 2026 | Objetivo de la sesión | Contexto del proyecto | Hallazgos técnicos clave | Arquitectura de entrypoints duales"
"ARCHITECTURE.md","ARCHITECTURE.md",".","MD","19.16","366","Arquitectura técnica completa de Clientum CRM — stack, estructura de directorios, schema de DB, flujo de despliegue Replit→GitHub→Vercel","366 líneas","borrador/pendiente","Clientum CRM — Arquitectura Técnica | 1. Visión general | 2. Stack tecnológico | 3. Estructura de directorios | 4. Diagrama de base de datos"
"CAMBIOS.md","CAMBIOS.md",".","MD","3.26","92","Log de cambios de la sesión 15/07/2026 — archivos creados y modificados: .env.example, replit.md, ARCHITECTURE.md, workflows CI","92 líneas","borrador/pendiente","Archivos modificados — sesión 15 de julio de 2026 | `.env.example` — reescrito completo | `replit.md` — reescrito como referencia de arquitecto | `docs/ARCHITECTURE.md` — creado desde cero | `.github/"
"INDEX.md","INDEX.md",".","MD","8.6","139","Índice maestro de toda la documentación de Clientum CRM — organizado por categorías: agentes, arquitectura, sitio, catalogo, sessions","139 líneas","completo","Índice de Documentación — Clientum CRM | Estructura completa | 1. 🤖 Agentes IA | Documentos de diseño del sistema | Scripts del sistema autónomo"
"INVENTARIO-ARCHIVOS.md","INVENTARIO-ARCHIVOS.md",".","MD","9.34","143","Inventario completo de todos los archivos del repl Clientum — raíz, src/, api/, docs/ con descripción de propósito de cada archivo","143 líneas","borrador/pendiente","Inventario de archivos — Clientum CRM (Replit) | 1. Código de la aplicación | Raíz / entrypoints | `api/` — entrypoint serverless de Vercel | `src/` — frontend React"
"Markdown to PDF.pdf","Markdown to PDF.pdf",".","PDF","14.63","-","Documento PDF — probablemente export de Markdown a PDF","14.63 KB","binario","PDF"
"PENDIENTES.md","PENDIENTES.md",".","MD","2.96","81","Lista de pendientes al cierre de sesión 15/07 — críticos (deploy, merge, tests), medios (Vercel secrets) y bajos (documentación)","81 líneas","borrador/pendiente","Pendientes y próximos pasos — sesión 15 de julio de 2026 | 🔴 Crítico — hacer antes del próximo deploy | 1. Pushear la rama `fix/pnpm-hoisting` a GitHub | 2. Mergear `fix/pnpm-hoisting` → `main` | 3. R"
"README.md","README.md",".","MD","3.14","82","README principal del proyecto Clientum CRM — descripción, cómo correr, stack, estructura y secrets requeridos (en inglés)","82 líneas","completo","Clientum CRM | How to run | Stack | Project structure | Required secrets"
"REMIX-LIMITACIONES-FREE.md","REMIX-LIMITACIONES-FREE.md",".","MD","5.35","98","Documentación de limitaciones del plan free de Replit al hacer Remix — qué no se transfiere: secrets, historial de chats, DB, dominios","98 líneas","borrador/pendiente","Qué NO se transfiere al hacer Remix en cuenta free de Replit | ❌ No se transfiere — nunca, independientemente del plan | Secrets y variables de entorno | Historial de chats del agente (Replit AI) | Da"
"SANTI-SDR.md","SANTI-SDR.md",".","MD","9.71","311","Documentación del agente SDR Santi — integración Hermes↔AI Prospector, tablas PostgreSQL, endpoints API, flujo de notificaciones WhatsApp","311 líneas","borrador/pendiente","Santi SDR — Integración Hermes ↔ AI Prospector | Qué es Santi | Arquitectura | Tablas creadas en PostgreSQL | `santi_leads`"
"replit.md","replit.md",".","MD","5.62","151","Referencia de arquitectura para el agente Replit — stack completo, comandos de desarrollo, variables de entorno y user preferences","151 líneas","completo","Clientum CRM | Stack | Cómo correr | Estructura del proyecto | Variables de entorno"
"roadmap-modulos-nuevos.md","roadmap-modulos-nuevos.md",".","MD","10.87","313","Roadmap de módulos nuevos para Clientum CRM — módulos planificados con estimaciones, dependencias y stack por feature","313 líneas","borrador/pendiente","Roadmap — Módulos Nuevos Clientum CRM | Estado actual — lo que ya existe | Módulo 1 — Google Maps Intelligence (mejora del existente) | Objetivo | Estado actual"
"README.md","sitio/README.md","sitio","MD","3.68","98","README principal del proyecto Clientum CRM — descripción, cómo correr, stack, estructura y secrets requeridos (en inglés)","98 líneas","completo","Sitio — Archivos del sitio clientum.com.ar | Estructura | Archivos canónicos | `sitio-copy-completo-v5.md` — fuente de verdad del copy | `sitio-copy.csv` — copy estructurado por página (12 filas · 11 "
"sitemap.csv","sitio/sitemap.csv","sitio","CSV","21.43","133","Sitemap del sitio clientum.com.ar — 132 URLs con tipo, slug, lastmod, changefreq y prioridad","132 filas · 8 columnas","completo",""
"sitio-copy-completo-v5.md","sitio/sitio-copy-completo-v5.md","sitio","MD","17.46","329","Copy completo del sitio clientum.com.ar v5 — fuente de verdad de julio 2026, cubre todas las páginas con H1, subtítulo, CTAs y secciones principales","329 líneas","borrador/pendiente","Clientum — Copy completo del sitio | Navegación global | Página: Chatbot WhatsApp | Página: CRM Inteligente | Página: Asistente IA"
"sitio-copy.csv","sitio/sitio-copy.csv","sitio","CSV","21.71","287","Copy completo del sitio por página — 12 entradas con H1, subtítulo, CTAs, features, stats, FAQ y copy_completo","12 filas · 11 columnas","completo",""
"README.md","sitio/catalogo/README.md","sitio/catalogo","MD","4.8","101","README principal del proyecto Clientum CRM — descripción, cómo correr, stack, estructura y secrets requeridos (en inglés)","101 líneas","completo","Catálogo — Archivos de datos Clientum | Estructura | Archivos canónicos (fuente de verdad) | `servicios-y-productos.csv` — 456 filas · 14 columnas | `cursos.csv` — 289 filas · 25 columnas"
"cursos.csv","sitio/catalogo/cursos.csv","sitio/catalogo","CSV","435.42","5766","Catálogo de cursos y talleres de Clientum Academia — 289 registros con SKU, plataforma, nivel, duración, precios y horarios por zona horaria","289 filas · 25 columnas","completo",""
"planes.csv","sitio/catalogo/planes.csv","sitio/catalogo","CSV","1.69","6","Planes de suscripción de Clientum — 5 planes (Inicial, PyME, etc.) con precio USD, características y categorías WooCommerce","5 filas · 11 columnas","completo",""
"servicios-y-productos.csv","sitio/catalogo/servicios-y-productos.csv","sitio/catalogo","CSV","143.97","457","Catálogo maestro de servicios y productos — 456 ítems con SKU, tipo, categoría, precio USD, software y fuente","456 filas · 14 columnas","completo",""
"catalogo-maestro-425.txt","sitio/catalogo/fuentes/catalogo-maestro-425.txt","sitio/catalogo/fuentes","TXT","23.7","455","Catálogo maestro en texto plano — 455 líneas con SKUs, nombres y precios de servicios Clientum (fuente original pre-CSV)","455 líneas","completo",""
"talleres_donweb.csv","sitio/catalogo/fuentes/talleres_donweb.csv","sitio/catalogo/fuentes","CSV","407.17","5662","Export de talleres de Donweb — 140 registros con título, slug, URL, fechas, horarios y contenido completo HTML","140 filas · 25 columnas","completo",""
"woocommerce-573.csv","sitio/catalogo/fuentes/woocommerce-573.csv","sitio/catalogo/fuentes","CSV","152.53","574","Export WooCommerce de 573 productos/servicios con SKU, nombre, precio USD, categorías y descripción","573 filas · 11 columnas","completo",""
"ai-client-prospector-pipeline-v2.csv","sitio/catalogo/leads/ai-client-prospector-pipeline-v2.csv","sitio/catalogo/leads","CSV","0.7","3","Pipeline de prospectos del AI Client Prospector — 2 deals con empresa, monto ARS, etapa CRM, rubro, ciudad y MEDDIC score","2 filas · 11 columnas","muestra/incompleto",""
"leads-general-roca-distribuidora.csv","sitio/catalogo/leads/leads-general-roca-distribuidora.csv","sitio/catalogo/leads","CSV","8.13","21","Leads de distribuidoras en General Roca — 20 empresas con fit score, dolor diagnosticado, calificación Google y contacto","20 filas · 14 columnas","completo",""
