ID,Type,SKU,Name,Published,Short description,Description,In stock?,Regular price,Categories,Tags
,simple,SRV-CTM-0001,Gestión de la Experiencia del Cliente (CX),1,Servicios de consultoría y ejecución de programas de gestión de la experiencia del cliente.,Servicios de consultoría y ejecución de programas de gestión de la experiencia del cliente.,1,55000,Servicios > Soporte,"servicio,clientum"
,simple,SRV-CTM-0002,Systems Maintenance,1,Mantenimiento de sistemas it.,Mantenimiento de sistemas it.,1,400000,Servicios > Soporte,"servicio,clientum"
,simple,SRV-CTM-0003,Servicios de monitoreo y gestión de infraestructura IT,1,Monitoreo y gestión de infraestructura it.,Monitoreo y gestión de infraestructura it.,1,400000,Servicios > Soporte,"servicio,clientum"
,simple,SRV-CTM-0004,Servicios de auditoría y cumplimiento normativo,1,Servicios de consultoría y auditoría para garantizar el cumplimiento de requisitos legales y normativos.,Servicios de consultoría y auditoría para garantizar el cumplimiento de requisitos legales y normativos.,1,85000,Servicios > Soporte,"servicio,clientum"
,simple,SRV-CTM-0005,IT Support Package,1,Soporte técnico it.,Soporte técnico it.,1,85000,Servicios > Soporte,"servicio,clientum"
,simple,SRV-CTM-0006,Desarrollo de chatbots,1,"Servicio de desarrollo de chatbot de soporte al cliente para ecommerce: mejora la experiencia del cliente, reduce costos y aumenta las ventas con nuestra solución innovadora.","Servicio de desarrollo de chatbot de soporte al cliente para ecommerce: mejora la experiencia del cliente, reduce costos y aumenta las ventas con nuestra solución innovadora.",1,375000,Servicios > Soporte,"servicio,clientum"
,simple,SRV-CTM-0007,Automatización de Servicio al Cliente,1,Automatización del servicio al cliente.,Automatización del servicio al cliente.,1,375000,Servicios > Soporte,"servicio,clientum"
,simple,SRV-CTM-0008,Montaje de eventos,1,Servicio integral de montaje y producción técnica de eventos corporativos o sociales.,Servicio integral de montaje y producción técnica de eventos corporativos o sociales.,1,50000,Servicios > Soporte,"servicio,clientum"
,simple,SRV-CTM-0009,Soporte Técnico Continuo,1,Soporte post-implementación: el aliado indispensable para el éxito de tus proyectos tecnológicos.,Soporte post-implementación: el aliado indispensable para el éxito de tus proyectos tecnológicos.,1,350000,Servicios > Soporte,"servicio,clientum"
,simple,SRV-CTM-0010,Soporte Remoto,1,Soporte técnico a distancia.,Soporte técnico a distancia.,1,350000,Servicios > Soporte,"servicio,clientum"
,simple,SRV-CTM-0011,Mantenimiento preventivo,1,Servicios de mantenimiento y soporte técnico para infraestructura y sistemas informáticos.,Servicios de mantenimiento y soporte técnico para infraestructura y sistemas informáticos.,1,80000,Servicios > Soporte,"servicio,clientum"
,simple,SRV-CTM-0012,Soporte Técnico 24/7,1,Soporte técnico especializado.,Soporte técnico especializado.,1,80000,Servicios > Soporte,"servicio,clientum"
,simple,SRV-CTM-0013,Asistencia técnica remota,1,$150 por incidente: protección integral para tu tranquilidad.,$150 por incidente: protección integral para tu tranquilidad.,1,295000,Servicios > Soporte,"servicio,clientum"
,simple,SRV-CTM-0014,Generación de Respuestas con IA,1,Solución de generación de respuestas con ia.,Solución de generación de respuestas con ia.,1,50000,Servicios > Soporte,"servicio,clientum"
,simple,SRV-CTM-0015,Diseño de interiores,1,Servicio de diseño integral de interiores.,Servicio de diseño integral de interiores.,1,320000,Servicios > Soporte,"servicio,clientum"
