"id","titulo","slug","url","fecha_publicacion","fecha_modificacion","fecha_taller","estado","horario_argentina","horario_colombia","horario_mexico","horario_espana","horario_peru","horario_uruguay","horario_venezuela","horario_chile","volanta","descripcion_general","descripcion_resumen","contenido_completo","imagen_url","imagen_thumbnail","rank_math_titulo","rank_math_descripcion","rank_math_keyword"
"21471","Creá las imágenes de tu web con inteligencia artificial","crea-las-imagenes-de-tu-web-con-inteligencia-artificial","https://talleres.donweb.com/talleres/crea-las-imagenes-de-tu-web-con-inteligencia-artificial/","2026-06-23","2026-07-13","2026-07-29","Próximo","15:00","13:00","12:00","20:00","13:00","15:00","14:00","13:00","","<p class=""PDq2pG_selectionAnchorContainer"" data-start=""119"" data-end=""337"">En este taller vas a aprender cómo usar inteligencia artificial para crear imágenes más profesionales, atractivas y alineadas con tu marca, pensadas especialmente para sitios web, tiendas online y contenidos digitales.</p>
<p data-start=""339"" data-end=""649"">Veremos cómo transformar una foto simple, incluso tomada con el celular, en una imagen con estética más cuidada para tu ecommerce; qué herramientas conviene usar según el objetivo, cómo escribir mejores prompts y cómo sumar inspiración, referencias y dirección creativa para lograr resultados más consistentes.</p>
","En este taller vas a aprender cómo usar inteligencia artificial para crear imágenes más profesionales, atractivas y alineadas con tu marca, pensadas especialmente para sitios web, tiendas online y contenidos digitales.","En este taller vas a aprender cómo usar inteligencia artificial para crear imágenes más profesionales, atractivas y alineadas con tu marca, pensadas especialmente para sitios web, tiendas online y contenidos digitales.

Veremos cómo transformar una foto simple, incluso tomada con el celular, en una imagen con estética más cuidada para tu ecommerce; qué herramientas conviene usar según el objetivo, cómo escribir mejores prompts y cómo sumar inspiración, referencias y dirección creativa para lograr resultados más consistentes.

Temario:

• Herramientas para generar imágenes y videos con IA: cuáles convienen según cada necesidad.

• Prompts adecuados para obtener resultados más precisos, profesionales y alineados con tu marca.

• Ideas, inspiración y dirección creativa para mejorar la calidad visual de tus contenidos.

• De foto con el celular a imagen profesional para tu ecommerce o sitio web.","https://talleres.donweb.com/wp-content/uploads/2026/06/IACAMP_Card-08.png","https://talleres.donweb.com/wp-content/uploads/2026/06/IACAMP_Card-08-150x150.png","","",""
"21469","Tu próxima landing page, creada con inteligencia artificial","tu-proxima-landing-page-creada-con-inteligencia-artificial","https://talleres.donweb.com/talleres/tu-proxima-landing-page-creada-con-inteligencia-artificial/","2026-06-23","2026-07-08","2026-07-28","Próximo","15:00","13:00","12:00","20:00","13:00","15:00","14:00","14:00","","","Crear una landing page que venda tus servicios puede ser mucho más simple de lo que imaginás. En este taller vas a aprender cómo usar SitioSimple e inteligencia artificial para generar una página lista para personalizar, publicar y empezar a captar contactos.","Crear una landing page que venda tus servicios puede ser mucho más simple de lo que imaginás. En este taller vas a aprender cómo usar SitioSimple e inteligencia artificial para generar una página lista para personalizar, publicar y empezar a captar contactos.

Vamos a ver cómo estructurar una landing de conversión, crear textos con IA, sumar llamados a la acción efectivos y configurar formularios para que tus potenciales clientes puedan contactarte fácilmente.

Temario:  

• Creación de una landing page de servicios con IA, lista para personalizar y publicar.

• Diferencias entre una web tradicional y una landing page de conversión.

• Estructura recomendada para vender servicios.

• Edición y personalización de páginas.

• Generación de textos con IA.

• Botones de acción (CTA).}

• Creación de formularios de contacto.","https://talleres.donweb.com/wp-content/uploads/2026/06/IACAMP_Card-07.png","https://talleres.donweb.com/wp-content/uploads/2026/06/IACAMP_Card-07-150x150.png","","",""
"21499","Cómo automatizar tu WhatsApp con Claude AI (sin tocar código)","como-automatizar-tu-whatsapp-con-claude-ai-sin-tocar-codigo","https://talleres.donweb.com/talleres/como-automatizar-tu-whatsapp-con-claude-ai-sin-tocar-codigo/","2026-06-25","2026-06-25","2026-07-23","Próximo","16:00","14:00","13:00","20:00","14:00","16:00","15:00","15:00","","","Cómo conectar tu número de WhatsApp a un asistente con Claude AI
Cómo definir la personalidad y los límites del bot sin escribir código
Cómo entrenarlo con la información de tus productos y servicios
Cómo dejarlo corriendo 24/7 en un cloud server para que nunca se caiga
Cómo manejar la transición entre el bot y un humano cuando hace falta","Cómo conectar tu número de WhatsApp a un asistente con Claude AI
Cómo definir la personalidad y los límites del bot sin escribir código
Cómo entrenarlo con la información de tus productos y servicios
Cómo dejarlo corriendo 24/7 en un cloud server para que nunca se caiga
Cómo manejar la transición entre el bot y un humano cuando hace falta

Temario:

• Por qué WhatsApp + Claude es la automatización con mejor retorno hoy en LATAM

• Las 3 formas de conectar Claude a WhatsApp: cuál te conviene según tu caso

• Cómo escribir el system prompt para que el bot suene como tu marca y no como un robot

• Configuración del contexto: productos, FAQs, horarios, políticas de tu negocio

• Cómo manejar mensajes complejos sin perder la confianza del cliente

• Cuándo derivar al humano y cómo hacerlo de forma elegante

• Deploy en cloud server: cómo dejarlo funcionando 24/7 sin que se caiga

• Pruebas reales y ajuste fino antes de exponerlo a clientes","https://talleres.donweb.com/wp-content/uploads/2026/06/DWC_Talleres_Card_23.07.png","https://talleres.donweb.com/wp-content/uploads/2026/06/DWC_Talleres_Card_23.07-150x150.png","","",""
"21467","Creá tu página web con WordPress + IA en minutos ","crea-tu-pagina-web-con-wordpress-ia-en-minutos","https://talleres.donweb.com/talleres/crea-tu-pagina-web-con-wordpress-ia-en-minutos/","2026-06-23","2026-07-08","2026-07-22","Próximo","15:00","13:00","12:00","20:00","13:00","15:00","14:00","14:00","","","Tu idea puede convertirse en una web mucho antes de lo que imaginás. En este taller te mostramos cómo combinar WordPress e inteligencia artificial para crear una página profesional, generar contenido y acelerar todo el proceso sin necesidad de programar.","Tu idea puede convertirse en una web mucho antes de lo que imaginás. En este taller te mostramos cómo combinar WordPress e inteligencia artificial para crear una página profesional, generar contenido y acelerar todo el proceso sin necesidad de programar.

Ideal para emprendedores, profesionales y marcas que quieren tener presencia online de forma rápida, simple y efectiva.

Temario:

• ¿Por qué hoy es más fácil crear una página web?

• WordPress: la plataforma que impulsa millones de sitios

• Crear una web en minutos con ayuda de la IA

• IA dentro de WordPress: generá contenido sin salir del editor

• Plugins de IA compatibles con WordPress

• Generación de contenido con IA

• Preguntas y respuestas","https://talleres.donweb.com/wp-content/uploads/2026/06/IACAMP_Card-06.png","https://talleres.donweb.com/wp-content/uploads/2026/06/IACAMP_Card-06-150x150.png","","",""
"21465","Creá una app para tu negocio con inteligencia artificial","crea-una-app-para-tu-negocio-con-inteligencia-artificial","https://talleres.donweb.com/talleres/crea-una-app-para-tu-negocio-con-inteligencia-artificial/","2026-06-23","2026-07-08","2026-07-21","Próximo","15:00","13:00","12:00","20:00","13:00","15:00","14:00","14:00","","","La inteligencia artificial cambió totalmente los negocios. Hoy todo el mundo puede hacer lo que necesite con IA. Hoy cualquiera tiene acceso a poder desarrollar cualquier solución, pero no todo el mundo lo va a hacer.","La inteligencia artificial cambió totalmente los negocios. Hoy todo el mundo puede hacer lo que necesite con IA. Hoy cualquiera tiene acceso a poder desarrollar cualquier solución, pero no todo el mundo lo va a hacer.

Para los creativos, la IA es magia. Es poder llevar a cabo todas las ideas que antes no podíamos por falta de dinero, personal y tiempo.

Temario:

• Introducción al nuevo paradigma IA en las empresas.

• Integración con plataformas para setear todo.

• ⁠Creación de skills amoldados a tu negocio.

• Esquema de creación de apps que utilizamos en Wayfarer

• Creación de una app en vivo para resolver una problemática","https://talleres.donweb.com/wp-content/uploads/2026/06/IACAMP_Card-05.png","https://talleres.donweb.com/wp-content/uploads/2026/06/IACAMP_Card-05-150x150.png","","",""
"21452","Prompt Engineering desde cero: Cómo hablarle a Claude para obtener exactamente lo que quieres","prompt-engineering-desde-cero-como-hablarle-a-claude-para-obtener-exactamente-lo-que-quieres","https://talleres.donweb.com/talleres/prompt-engineering-desde-cero-como-hablarle-a-claude-para-obtener-exactamente-lo-que-quieres/","2026-06-22","2026-07-06","2026-07-16","Pasado","16:00","14:00","13:00","20:00","14:00","16:00","15:00","15:00","","","Qué es un prompt y por qué la mayoría los hace mal · Cómo estructurar un prompt para obtener respuestas útiles · Diferencia entre system prompt y user prompt · Cómo darle contexto y hacer que Claude adopte un rol específico · Ejemplos reales de prompts malos vs buenos con el mismo objetivo.
Temario: 
• Introducción: por qué el resultado que obtenés de Claude depende casi todo de cómo le preguntás
• Qué es un prompt y cómo lo procesa Claude internamente (sin tecnicismos)
• Anatomía de un buen prompt: rol, contexto, tarea, formato y restricciones
• System prompt vs user prompt: cuándo usar cada uno y para qué sirve cada capa
• Temperatura y comportamiento: cómo pedirle a Claude que sea más creativo o más preciso según lo que necesitás · Ejemplos en vivo: el mismo pedido con un prompt malo y uno bueno, y la diferencia en el resultado · Cómo darle un rol específico para que responda como un especialista en tu área
• Cierre: plantilla base que podés reutilizar para cualquier tarea","Qué es un prompt y por qué la mayoría los hace mal · Cómo estructurar un prompt para obtener respuestas útiles · Diferencia entre system prompt y user prompt · Cómo darle contexto y hacer que Claude adopte un rol específico · Ejemplos reales de prompts malos vs buenos con el mismo objetivo.
Temario: 
• Introducción: por qué el resultado que obtenés de Claude depende casi todo de cómo le preguntás
• Qué es un prompt y cómo lo procesa Claude internamente (sin tecnicismos)
• Anatomía de un buen prompt: rol, contexto, tarea, formato y restricciones
• System prompt vs user prompt: cuándo usar cada uno y para qué sirve cada capa
• Temperatura y comportamiento: cómo pedirle a Claude que sea más creativo o más preciso según lo que necesitás · Ejemplos en vivo: el mismo pedido con un prompt malo y uno bueno, y la diferencia en el resultado · Cómo darle un rol específico para que responda como un especialista en tu área
• Cierre: plantilla base que podés reutilizar para cualquier tarea","https://talleres.donweb.com/wp-content/uploads/2026/06/DWC_Talleres_Card_25.06.png","https://talleres.donweb.com/wp-content/uploads/2026/06/DWC_Talleres_Card_25.06-150x150.png","","",""
"21463","Claude Autónomo: creá agentes que trabajen por vos 24/7","claude-autonomo-crea-agentes-que-trabajen-por-vos-24-7","https://talleres.donweb.com/talleres/claude-autonomo-crea-agentes-que-trabajen-por-vos-24-7/","2026-06-23","2026-06-25","2026-07-15","Pasado","14:00","12:00","11:00","19:00","12:00","14:00","13:00","13:00","","","La inteligencia artificial ya no sirve solo para responder preguntas: también puede ejecutar tareas, automatizar procesos y trabajar por vos.","La inteligencia artificial ya no sirve solo para responder preguntas: también puede ejecutar tareas, automatizar procesos y trabajar por vos.

En este taller vas a aprender cómo pasar de “usar IA” a crear agentes capaces de realizar acciones reales: desde una rutina automática que se ejecuta cada mañana, hasta un asistente 24/7 que responde por WhatsApp, Telegram u otros canales.

A través de demos en vivo y ejemplos paso a paso, vas a ver cómo funcionan los agentes de IA, dónde pueden vivir, cómo elegir los modelos adecuados, cómo controlar costos y qué buenas prácticas aplicar para usarlos de forma segura.

Una propuesta pensada para quienes quieren empezar a delegar tareas repetitivas, optimizar su tiempo y crear su propio asistente inteligente.

Temario:  

• De usar IA a delegar trabajo real

• Rutinas automáticas: tu primer agente

• Demo en vivo: creación de una rutina desde cero

• El poder de la repetición

• Agentes 24/7: asistentes que no se apagan

• Dónde vive un agente de IA

• Canales de comunicación

• Modelos de IA y combinación de herramientas

• Seguridad, permisos y control de acceso

• Costos, errores y puesta en marcha","https://talleres.donweb.com/wp-content/uploads/2026/06/IACAMP_Card-04.png","https://talleres.donweb.com/wp-content/uploads/2026/06/IACAMP_Card-04-150x150.png","","",""
"21461","Reels con IA: Edición de vídeo con herramientas gratuitas","reels-con-ia-edicion-de-video-con-herramientas-gratuitas","https://talleres.donweb.com/talleres/reels-con-ia-edicion-de-video-con-herramientas-gratuitas/","2026-06-23","2026-07-15","2026-07-14","Pasado","14:00","12:00","11:00","19:00","12:00","14:00","13:00","13:00","","","En este taller vas a aprender a crear reels más atractivos y profesionales usando herramientas gratuitas de inteligencia artificial. Desde la idea inicial hasta la edición final, vamos a ver cómo generar personajes, escenarios, animaciones, voces, música y efectos de sonido — sin experiencia previa en edición ni un peso invertido en software.
La propuesta es práctica: conocés las herramientas, las combinás en un flujo de trabajo simple y te vas con recursos listos para crear videos para redes de forma más rápida y creativa.","En este taller vas a aprender a crear reels más atractivos y profesionales usando herramientas gratuitas de inteligencia artificial. Desde la idea inicial hasta la edición final, vamos a ver cómo generar personajes, escenarios, animaciones, voces, música y efectos de sonido — sin experiencia previa en edición ni un peso invertido en software.
La propuesta es práctica: conocés las herramientas, las combinás en un flujo de trabajo simple y te vas con recursos listos para crear videos para redes de forma más rápida y creativa.

Temario
• Cómo planificar la idea y estructura de un reel
• Creación de personajes y escenarios con IA
• Animación de imágenes y generación de clips de video
• Voces, locuciones y efectos de sonido generados con IA
• Música para tus contenidos, creada con inteligencia artificial
• Herramientas gratuitas para editar y combinar todos los recursos
• Edición final: ritmo, duración, transiciones y formato para redes","https://talleres.donweb.com/wp-content/uploads/2026/06/IACAMP_Card-03.png","https://talleres.donweb.com/wp-content/uploads/2026/06/IACAMP_Card-03-150x150.png","","",""
"21457","Decisiones inteligentes: cómo analizar datos con IA ","decisiones-inteligentes-como-analizar-datos-con-ia","https://talleres.donweb.com/talleres/decisiones-inteligentes-como-analizar-datos-con-ia/","2026-06-23","2026-07-10","2026-07-08","Pasado","15:00","13:00","12:00","19:00","13:00","15:00","14:00","14:00","","","En este taller vas a explorar el potencial de la inteligencia artificial aplicada al análisis de datos: desde la comprensión inicial de una planilla o conjunto de información hasta la detección de insights, la validación de interpretaciones y la construcción de mejores condiciones para decidir.","En este taller vas a explorar el potencial de la inteligencia artificial aplicada al análisis de datos: desde la comprensión inicial de una planilla o conjunto de información hasta la detección de insights, la validación de interpretaciones y la construcción de mejores condiciones para decidir.

A lo largo del encuentro veremos cómo la IA puede ayudarte a trabajar con datos de una manera más ágil, clara y estratégica:

Temario:

• Nuevas formas de explorar datos con inteligencia artificial, aun sin ser especialista técnico.

• Uso de IA para encontrar señales relevantes y descubrir posibles oportunidades.

• Transformación de información dispersa en ideas más claras, útiles y accionables.

• Criterios para interpretar resultados con mayor confianza y evitar conclusiones apresuradas.

• Aplicaciones de IA para comunicar hallazgos, pensar visualizaciones y acercarse a mejores decisiones.

• Ideas prácticas para llevar el análisis con IA a distintos contextos laborales, equipos o proyectos.","https://talleres.donweb.com/wp-content/uploads/2026/06/IACAMP_Card-02.png","https://talleres.donweb.com/wp-content/uploads/2026/06/IACAMP_Card-02-150x150.png","","",""
"21455","Fotografía publicitaria con IA","fotografia-publicitaria-con-ia","https://talleres.donweb.com/talleres/fotografia-publicitaria-con-ia/","2026-06-23","2026-07-10","2026-07-07","Pasado","16:00","14:00","13:00","20:00","14:00","16:00","15:00","15:00","","","La inteligencia artificial está transformando la forma de crear imágenes profesionales. En este taller vas a aprender cómo aplicar herramientas de IA en fotografía comercial para generar, editar y animar imágenes con resultados de alto impacto.","La inteligencia artificial está transformando la forma de crear imágenes profesionales. En este taller vas a aprender cómo aplicar herramientas de IA en fotografía comercial para generar, editar y animar imágenes con resultados de alto impacto.

Vamos a recorrer desde los fundamentos de la IA generativa y la creación de prompts, hasta la edición, postproducción, generación de escenas, fotografía de producto, gastronomía, retratos, moda y contenido audiovisual para redes.

Una propuesta pensada para fotógrafos, creadores de contenido, emprendedores y profesionales que quieran sumar la IA a su flujo de trabajo, mejorar su productividad y descubrir nuevas oportunidades de negocio.

Temario:

• Introducción a la IA aplicada a la fotografía
• Prompts para crear mejores imágenes
• Edición de imágenes con IA
• Herramientas y espacios de trabajo
• Producción comercial con IA
• De imagen a video
• Productividad y nuevas oportunidades","https://talleres.donweb.com/wp-content/uploads/2026/06/IACAMP_Card-01.png","https://talleres.donweb.com/wp-content/uploads/2026/06/IACAMP_Card-01-150x150.png","","",""
