"archivo","ruta_relativa","carpeta","tipo","tamaño_kb","lineas","descripcion","estado","temas_secciones"
"2026-07-15.md","2026-07-15.md",".","MD","2.81","80","Sesión de trabajo — 15 de julio de 2026","completo","Sesión de trabajo — 15 de julio de 2026 | Objetivo de la sesión | Contexto del proyecto | Hallazgos técnicos clave | Arquitectura de entrypoints duales"
"ARCHITECTURE.md","ARCHITECTURE.md",".","MD","19.16","366","Clientum CRM — Arquitectura Técnica","borrador/pendiente","Clientum CRM — Arquitectura Técnica | 1. Visión general | 2. Stack tecnológico | 3. Estructura de directorios | 4. Diagrama de base de datos"
"CAMBIOS.md","CAMBIOS.md",".","MD","3.26","92","Archivos modificados — sesión 15 de julio de 2026","borrador/pendiente","Archivos modificados — sesión 15 de julio de 2026 | `.env.example` — reescrito completo | `replit.md` — reescrito como referencia de arquitecto | `docs/ARCHITECTURE.md` — creado desde cero | `.github/"
"INDEX.md","INDEX.md",".","MD","8.6","139","Índice de Documentación — Clientum CRM","completo","Índice de Documentación — Clientum CRM | Estructura completa | 1. 🤖 Agentes IA | Documentos de diseño del sistema | Scripts del sistema autónomo"
"INVENTARIO-ARCHIVOS.md","INVENTARIO-ARCHIVOS.md",".","MD","9.34","143","Inventario de archivos — Clientum CRM (Replit)","borrador/pendiente","Inventario de archivos — Clientum CRM (Replit) | 1. Código de la aplicación | Raíz / entrypoints | `api/` — entrypoint serverless de Vercel | `src/` — frontend React"
"Markdown to PDF.pdf","Markdown to PDF.pdf",".","PDF","14.63","-","Archivo PDF binario","binario","PDF"
"PENDIENTES.md","PENDIENTES.md",".","MD","2.96","81","Pendientes y próximos pasos — sesión 15 de julio de 2026","borrador/pendiente","Pendientes y próximos pasos — sesión 15 de julio de 2026 | 🔴 Crítico — hacer antes del próximo deploy | 1. Pushear la rama `fix/pnpm-hoisting` a GitHub | 2. Mergear `fix/pnpm-hoisting` → `main` | 3. R"
"README.md","README.md",".","MD","3.14","82","Clientum CRM","completo","Clientum CRM | How to run | Stack | Project structure | Required secrets"
"REMIX-LIMITACIONES-FREE.md","REMIX-LIMITACIONES-FREE.md",".","MD","5.35","98","Qué NO se transfiere al hacer Remix en cuenta free de Replit","borrador/pendiente","Qué NO se transfiere al hacer Remix en cuenta free de Replit | ❌ No se transfiere — nunca, independientemente del plan | Secrets y variables de entorno | Historial de chats del agente (Replit AI) | Da"
"SANTI-SDR.md","SANTI-SDR.md",".","MD","9.71","311","Santi SDR — Integración Hermes ↔ AI Prospector","borrador/pendiente","Santi SDR — Integración Hermes ↔ AI Prospector | Qué es Santi | Arquitectura | Tablas creadas en PostgreSQL | `santi_leads`"
